,Species,Carbon source,model,RSS,RMSD,bic,aic,weighted_bic,weighted_aic,y0,K,r,nu,q0,v,has_lag,has_nu,max_growth_rate,min_doubling_time,lag,Binary growth evaluation,Yield
0,At,Acetate,Model(BaranyiRoberts),0.34254169937401374,0.028558282068430387,-2950.637439520189,-2974.8789677878535,0.11836731014233966,0.5281495055124426,0.05221786997581912,1.0207327452488582,0.13284014306903125,0.7330516185083196,0.00010000000063103975,0.8058433281787889,True,False,0.10286171483646267,6.585279724168613,19.87949374398982,1,0.9437333333333333
1,At,Adenosine,Model(LogisticLag2),0.009154006188090038,0.004495277430705107,-4866.104010537255,-4886.68347116467,0.42883422982375313,0.5506608712431027,0.0488813879316321,0.20611746059713987,0.01947837183851901,1.0,0.03424091674184604,0.4057961875639149,True,False,0.013901283098965527,56.89793960627294,14.39990459012417,1,0.061099999999999995
2,At,Cysteine,Model(BaranyiRoberts),0.5542849584027294,0.05212564752043992,-1173.3633360431602,-1193.2720560062255,0.0003074798126383392,0.024762137615453636,0.03496424485888272,0.49350752395663844,0.6231425942118791,1.2007889039286557,17897772.817597218,43357695.46791213,False,False,0.5707084302315872,1.1907045934823712,1.3023798560063786,1,0.5105666666666666
3,At,D-arabinose,Model(BaranyiRoberts),0.6122856066065234,0.04347148940122566,-1997.2167206512677,-2019.9011817460216,0.048000208575703134,0.2550672728029097,0.04951292772143279,1.3842471786775394,0.20741448652365455,0.5608237852574889,0.00010000016379896337,1.0246185629193,True,True,0.145818030890945,4.485332554776999,16.197644333985824,1,1.2653
4,At,D-Glucose,Model(BaranyiRoberts),0.46048110695520283,0.04084617249888545,-1731.5416663217793,-1753.2640715160821,0.0034058406255842314,0.09003056773981566,0.020835288019177778,1.3850300175939092,1.0690210935056277,0.10000000025117493,291621863902.8079,210565410695.45154,False,True,0.2393569840948861,2.0254143031920813,5.5427321479279374,1,1.3215333333333332
5,At,D-xylose,Model(BaranyiRoberts),0.5145760409884259,0.04022640489662231,-2009.043027944477,-2031.615336241158,0.002968834974519837,0.09003059282130776,0.019595625899507585,1.3551563113941467,1.081639308037106,0.10000000025787242,276425755341.42896,199885106069.00992,False,True,0.24251281909722924,2.0154877099321546,5.5683671816037865,1,1.3303333333333336
6,At,Formate,Model(BaranyiRoberts),0.014063080060590488,0.005571743609012408,-4665.487445146057,-4690.182797898956,0.867784693107073,0.9809126572792498,0.04714634822126951,0.18751606151865685,1.1896706007809354,0.10000000163290113,0.000100000001528322,0.37867146607310165,True,True,0.07780804103338118,9.97414080747414,23.171228957522523,1,0.14196666666666663
7,At,Fumarate,Model(BaranyiRoberts),0.024695694091904263,0.012346762981561841,-1393.2475016631686,-1411.773079674563,0.0056906154080287935,0.09003057266930051,0.02686432016163698,0.7355476149525118,0.6180259241153359,0.3975412854240584,172780542777.49942,126057734372.52025,False,True,0.36624789841039357,1.6207874541207874,2.5891196402416883,1,0.6776333333333334
8,At,Glutarate,Model(BaranyiRoberts),0.16449479533121453,0.019055790944003802,-3551.4127660072454,-3576.1081187601435,0.0021040059165622067,0.0900305497897862,0.022092195540639015,0.6116777430094196,0.6048898990284028,0.10000000064617531,7207127099.551923,5214989001.973005,False,True,0.1291197399595505,4.458138694249806,6.157932384028812,1,0.553
9,At,Glycerol,Model(BaranyiRoberts),0.7320774193528826,0.04472372444560677,-2239.092056392576,-2262.507856392984,0.002589793875186061,0.09003057764233413,0.015164479319197843,1.3167912030850724,0.8504636384084763,0.10000000003490149,122238710293.31749,88279609787.16846,False,True,0.1917883344346814,2.44188633077522,7.751114095248296,1,1.2713
