,Rate [mmol/gDW/h]
80,1.5023006899133352e-05
81,8.981463493183831e-06
82,2.093816518141386e-05
83,1.9715983170072018e-05
84,2.0721341858720267e-05
85,2.150779194518684e-05
86,4.279138074574256e-05
87,3.652617419382823e-05
88,3.316007491729498e-05
89,0.0001466310888077
90,0.0001127311926132
91,0.0005107974844827
92,0.0004369381808508
93,0.0004017912063578
94,0.0004170472380972
95,-0.0005046700957883
96,-0.0006857539612952
97,-0.0024966130317736
98,-19.350783975073533
99,-19.597281380227223
100,-16.41856985195011
101,0.0001046368516559
103,0.0489219480603886
104,0.000290305907974
105,1.531320224041289e-06
106,1.8768309003137025e-06
107,1.3473783448973306e-06
108,7.567969439369165e-07
109,-2.5485914325921856e-07
110,-4.546045813876541e-07
111,1.5923774928204108e-06
112,-3.493631398636136e-06
113,-4.065179130221184e-06
114,1.9951408447375117e-05
115,9.285030879297791e-06
116,1.3253744705371253e-05
117,1.0955637263748448e-05
118,3.592308764863914e-05
119,3.4286529411733714e-05
120,8.512594715424331e-05
121,5.393131633880977e-05
122,6.455250198561267e-05
123,0.0024945444102328
124,0.0010351516647688
125,0.0049966851876948
126,0.0052636608753808
127,0.004152712742662
128,0.002121360754773
129,0.0016505540175051
130,0.0015212423954925
131,0.0041955044433807
132,-0.000622440607993
134,0.0058957081796997
135,0.0001796352969622
136,9.009670836039642e-05
137,0.0002291222915814
138,8.403996811809957e-06
139,0.0003959993108361
140,0.0002108087012207
141,0.0002404609008447
142,0.0068354075725719
143,0.0101568170224331
144,0.0057485352543315
146,8.696520069241675e-05
147,5.240153757831557e-05
148,0.0001013223373813
149,9.564023593805544e-05
150,0.0001693510264669
151,0.0051993777944598
152,0.0053849876294429
153,0.0055699277791882
154,0.0001924210752059
155,0.0002506633533797
156,-5.029163620685803e-05
157,4.9480288006758606e-05
158,4.152096423713328e-05
159,9.373626013763747e-06
160,0.001926985281164
161,0.0027316919000444
162,0.1200347291911777
163,0.2908759268706146
164,0.1360627948915331
165,0.001549445589648
166,0.4910333977063151
167,0.1407338295394529
168,0.0485633365635053
169,0.0001224681798148
170,0.0005897758653114
171,-0.0005920570704232
172,-0.0086987377554778
173,0.0001642112841828
174,-0.0116383341152094
175,0.0010843119790896
176,0.0001390499055172
177,3.428309171279735e-05
178,-4.65059461695993
179,-8.62346972250237
180,-4.239893158003564
181,0.0076399013031136
182,2.2916067515776287e-05
183,1.5130334578750136e-05
184,1.3674227549217953e-05
185,4.2223413855507006e-05
186,7.432062992242811e-06
187,6.932914936856806e-05
188,6.142219942677481e-05
189,0.000144711660419
190,6.984773649709687e-05
191,0.0063815898508822
192,0.0049978463072295
193,0.0310349158609146
194,-0.464182319986439
195,-0.0140596999715316
196,0.2513802728155949
197,0.0035883551115441
198,0.0031585415301788
199,0.0105696565745857
200,0.0014004072376727
201,0.0054979358751081
202,0.001709109059886
203,-0.0009376162765917
204,-18.5167494330341
205,-15.958593028683635
206,-19.248405505964417
207,0.0055656945686787
